Station ID,Visit,Data_Source,Location,Date,Chl,MC
NLA06608-0001,1,NLA 07,,,0.24,NA
NLA06608-0002,1,NLA 07,,,3.84,NA
NLA06608-0002,1,NLA 12,,,36.24,NA
NLA06608-0002,1,NLA 12,,,17.09,NA
NLA06608-0002,2,NLA 07,,,20.88,NA
NLA06608-0003,1,NLA 07,,,16.96,NA
NLA06608-0003,2,NLA 07,,,12.864,NA
NLA06608-0004,1,NLA 07,,,4.6,NA
NLA06608-0004,1,NLA 12,,,101.3,NA
NLA06608-0004,1,NLA 12,,,102.67,0.10775
NLA06608-0004,2,NLA 07,,,14.72,NA
NLA06608-0005,1,NLA 07,,,1.205,NA
NLA06608-0005,2,NLA 07,,,0.403,NA
NLA06608-0006,1,NLA 07,,,4.08,0.18
NLA06608-0006,1,NLA 12,,,2.324,NA
NLA06608-0006,1,NLA 12,,,1.77,NA
NLA06608-0006,2,NLA 07,,,3.224,0.57
NLA06608-0007,1,NLA 07,,,2.432,NA
NLA06608-0007,2,NLA 07,,,4.088,NA
NLA06608-0008,1,NLA 07,,,30.24,NA
NLA06608-0008,2,NLA 07,,,148.2,NA
NLA06608-0010,1,NLA 07,,,4.384,NA
NLA06608-0010,1,NLA 12,,,3.144,1.06855
NLA06608-0010,1,NLA 12,,,2.84,0.79297
NLA06608-0010,2,NLA 07,,,3.328,NA
NLA06608-0012,1,NLA 07,,,4.9,NA
NLA06608-0012,1,NLA 12,,,17.3,0.17334
NLA06608-0012,1,NLA 12,,,8.68,0.18032
NLA06608-0012,2,NLA 07,,,21.28,0.78
NLA06608-0013,1,NLA 07,,,16.027,NA
NLA06608-0013,1,NLA 12,,,21.64,NA
NLA06608-0013,1,NLA 12,,,22.96,NA
NLA06608-0013,2,NLA 07,,,8.8,NA
NLA06608-0014,1,NLA 07,,,8.748,NA
NLA06608-0014,2,NLA 07,,,20.52,NA
NLA06608-0015,1,NLA 07,,,20,NA
NLA06608-0015,2,NLA 07,,,13.648,NA
NLA06608-0016,1,NLA 07,,,13,0.29
NLA06608-0016,1,NLA 12,,,12.01333333,NA
NLA06608-0016,1,NLA 12,,,9.2,NA
NLA06608-0016,2,NLA 07,,,16.64,1.3
NLA06608-0019,1,NLA 07,,,4.032,0.88
NLA06608-0019,1,NLA 12,,,388.8,0.4729
NLA06608-0019,1,NLA 12,,,446.4,0.39049
NLA06608-0019,2,NLA 07,,,44.256,20
NLA06608-0020,1,NLA 07,,,20.24,NA
NLA06608-0020,1,NLA 12,,,12.37333333,0.14072
NLA06608-0020,1,NLA 12,,,10.68,0.12044
NLA06608-0020,2,NLA 07,,,13.029,NA
NLA06608-0021,1,NLA 07,,,2.292,NA
NLA06608-0021,2,NLA 07,,,3.952,1.5
NLA06608-0023,1,NLA 07,,,2.776,NA
NLA06608-0023,1,NLA 12,,,3.592,NA
NLA06608-0023,1,NLA 12,,,5.23,0.13801
NLA06608-0023,2,NLA 07,,,2.816,NA
NLA06608-0024,1,NLA 07,,,44.151,0.26
NLA06608-0024,1,NLA 12,,,32.8,NA
NLA06608-0024,1,NLA 12,,,37.28,0.1031
NLA06608-0024,2,NLA 07,,,25.403,0.2
NLA06608-0025,1,NLA 07,,,1.304,NA
NLA06608-0025,2,NLA 07,,,1.829,NA
NLA06608-0029,1,NLA 07,,,123.12,0.17
NLA06608-0029,2,NLA 07,,,106.8,NA
NLA06608-0031,1,NLA 07,,,5.264,NA
NLA06608-0031,1,NLA 12,,,4.19,NA
NLA06608-0031,1,NLA 12,,,9.066666667,NA
NLA06608-0031,2,NLA 07,,,8.496,NA
NLA06608-0033,1,NLA 07,,,8.92,NA
NLA06608-0033,1,NLA 12,,,5.12,NA
NLA06608-0033,1,NLA 12,,,2.96,NA
NLA06608-0033,2,NLA 07,,,4.84,NA
NLA06608-0036,1,NLA 07,,,5.069,NA
NLA06608-0036,1,NLA 12,,,2.272,0.27599
NLA06608-0036,1,NLA 12,,,80.27,0.88896
NLA06608-0036,2,NLA 07,,,3.018,NA
NLA06608-0037,1,NLA 07,,,8.016,0.14
NLA06608-0037,2,NLA 07,,,5.264,NA
NLA06608-0038,1,NLA 07,,,4.328,NA
NLA06608-0038,2,NLA 07,,,2.072,NA
NLA06608-0041,1,NLA 07,,,0.884,NA
NLA06608-0041,2,NLA 07,,,1.136,NA
NLA06608-0042,1,NLA 07,,,2.208,NA
